complaint_id,complaint_text,category,issue_subtype,duplicate_group_id,location,priority,status,reported_by_role,date_reported
7141,Water keeps dripping from the corner tap even when closed.,Plumbing,tap leaking,1007,Room C127,Medium,In Progress,Student,2024-04-23
7142,Bed in Room B133 is sagging badly in the middle.,Furniture,bed/desk damaged,1012,Room E123,High,Resolved,Student,2025-01-25
7143,"The switchboard in my room has sparking wires, feels unsafe.",Electrical,wiring exposed / hazard,1006,Room C106,High,In Progress,Student,2026-05-23
7144,Corridor near the room is full of dust and garbage.,Cleaning/Sanitation,room not cleaned,1019,Room C121,Low,Open,Student,2024-12-25
7145,Construction noise near Room C103 is disturbing classes/sleep.,Noise/Nuisance,noise disturbance,1021,Room D131,Low,In Progress,Student,2024-06-23
7146,"Bathroom tap won't shut off properly, water is wasted.",Plumbing,tap leaking,1007,Room B124,Low,In Progress,Student,2024-10-18
7147,Ceiling in Room C119 is damp because of a leaking pipe above.,Plumbing,pipe leakage,1010,Hostel 2 common washroom,Medium,Open,Warden,2024-07-26
7148,The AC in Room C121 isn't cooling the room at all.,HVAC/Fan,AC not cooling,1002,Room E129,Low,Resolved,Staff,2025-03-01
7149,Main door hinge near the ceiling is loose and squeaky.,Structural,door/window broken,1015,Room D119,High,In Progress,Staff,2026-01-29
7150,Bed in Room B122 is sagging badly in the middle.,Furniture,bed/desk damaged,1012,Room A121,High,Resolved,Student,2025-10-19
7151,Internet keeps disconnecting every few minutes in Room A129.,Internet/WiFi,wifi not working,1017,Room E107,Medium,Resolved,Staff,2025-08-30
7152,Electrical outlet near the ceiling has stopped working.,Electrical,power outlet not working,1003,Room A128,Medium,Open,Student,2025-12-22
7153,My study chair wobbles a lot and feels unsafe to sit on.,Furniture,chair broken,1011,Room B110,High,Resolved,Student,2026-03-19
7154,The light in Room A127 keeps flickering on and off.,Electrical,light flickering,1004,Room C107,Medium,Resolved,Student,2025-11-12
7155,WiFi isn't working at all in Room B105.,Internet/WiFi,wifi not working,1017,Room B135,Medium,In Progress,Student,2024-01-06
7156,My ceiling fan is vibrating badly and making buzzing sounds.,HVAC/Fan,fan making noise,1000,Block D Floor 1 corridor,Medium,Resolved,Student,2025-10-03
7157,There's no water coming from the tap in Room D136.,Plumbing,no water supply,1008,Room B142,High,Open,Student,2025-06-18
7158,There's water seepage on the wall in Room C123.,Structural,seepage/dampness,1016,Room B109,High,In Progress,Student,2025-10-08
7159,Ceiling in Room A102 is damp because of a leaking pipe above.,Plumbing,pipe leakage,1010,Block A Floor 3 corridor,Medium,Open,Student,2024-07-08
7160,I can see loose electrical wiring hanging near the switchboard.,Electrical,wiring exposed / hazard,1006,Room B132,High,Resolved,Student,2026-02-18
7161,"The chair in Room C120 is broken, one leg is cracked.",Furniture,chair broken,1011,Room C132,High,Resolved,Staff,2026-02-20
7162,There's a pipe leaking under the wall-mounted in Room C119.,Plumbing,pipe leakage,1010,Room B132,Medium,Resolved,Student,2024-05-31
7163,The washbasin fan switch works but the blades don't move.,HVAC/Fan,fan not working,1001,Room E119,Low,Open,Visitor,2025-10-13
7164,There's a pipe leaking under the hallway in Room A139.,Plumbing,pipe leakage,1010,Room A110,Medium,Open,Student,2025-08-22
7165,There's a pipe leaking under the study table in Room D103.,Plumbing,pipe leakage,1010,Room B104,Medium,In Progress,Student,2024-02-19
7166,Mosquito infestation is bad in Room D115 this week.,Cleaning/Sanitation,pest issue,1020,Block C Floor 1 corridor,Low,Open,Student,2024-01-22
7167,The toilet in Room C108 is clogged and won't flush.,Plumbing,toilet clogged,1009,Room C137,Medium,Resolved,Student,2026-03-12
7168,Wall near the entrance has a large crack spreading.,Structural,ceiling/wall damage,1014,Room E123,High,Resolved,Faculty,2026-05-21
7169,Main door hinge near the room is loose and squeaky.,Structural,door/window broken,1015,Room B129,Medium,Resolved,Student,2026-03-29
7170,I found ants all over the wardrobe in my room.,Cleaning/Sanitation,pest issue,1020,Room A123,Low,Resolved,Student,2024-01-09
7171,There's a pipe leaking under the room in Room D102.,Plumbing,pipe leakage,1010,Room D140,Medium,Open,Student,2025-08-03
7172,The bed frame in Room A123 is creaking and unstable.,Furniture,bed/desk damaged,1012,Room C124,Medium,Resolved,Student,2026-02-16
7173,Power has been out in Room C119 for hours now.,Electrical,no electricity,1005,the main lobby,Low,In Progress,Student,2026-05-16
7174,The light in Room D133 keeps flickering on and off.,Electrical,light flickering,1004,Room A136,Medium,Open,Student,2024-02-22
7175,Entire room has no electricity since morning.,Electrical,no electricity,1005,Room C101,High,In Progress,Staff,2024-10-19
7176,"My room fan is dead, no rotation even at full speed.",HVAC/Fan,fan not working,1001,Room A105,Low,In Progress,Student,2026-01-18
7177,"My room fan is dead, no rotation even at full speed.",HVAC/Fan,fan not working,1001,Room A109,Low,In Progress,Faculty,2025-02-19
7178,"Desk near the bathroom has a cracked surface, needs repair.",Furniture,bed/desk damaged,1012,Room E134,High,Resolved,Staff,2024-08-03
7179,"Taps in Room A102 are completely dry, no water at all.",Plumbing,no water supply,1008,Room C112,High,Resolved,Student,2025-07-11
7180,There's water seepage on the wall in Room B117.,Structural,seepage/dampness,1016,Room A123,High,Open,Student,2024-08-16
7181,"The chair in Room A117 is broken, one leg is cracked.",Furniture,chair broken,1011,Room E143,High,In Progress,Faculty,2025-05-20
7182,The fan attached to the main door keeps rattling and buzzing loudly.,HVAC/Fan,fan making noise,1000,Room A113,Low,In Progress,Student,2025-07-11
7183,There's a crack forming on the ceiling in Room C109.,Structural,ceiling/wall damage,1014,Block B Floor 1 corridor,Low,Resolved,Student,2025-03-21
7184,Power has been out in Room E138 for hours now.,Electrical,no electricity,1005,Room E122,Low,In Progress,Student,2024-04-29
7185,"Toilet flush isn't working properly in Room E140, backing up.",Plumbing,toilet clogged,1009,Room D140,Medium,Resolved,Warden,2026-08-23
7186,Window glass in Block D Floor 2 corridor is cracked.,Structural,door/window broken,1015,Room E124,High,Open,Student,2024-12-21
7187,The cupboard door in Room B124 won't close properly.,Furniture,cupboard/door issue,1013,Room E133,Low,Resolved,Student,2026-04-29
7188,Air conditioner is running but blowing warm air.,HVAC/Fan,AC not cooling,1002,Room C101,Low,Open,Student,2024-11-24
7189,The cupboard door in Room D108 won't close properly.,Furniture,cupboard/door issue,1013,Room E119,High,Resolved,Student,2024-06-09
7190,Room temperature isn't dropping even with AC on full in Block A Floor 2 corridor.,HVAC/Fan,AC not cooling,1002,Room B136,Low,In Progress,Student,2025-12-28
7191,"Desk near the wardrobe has a cracked surface, needs repair.",Furniture,bed/desk damaged,1012,Room C130,High,Resolved,Student,2025-08-18
7192,The toilet in Room C127 is clogged and won't flush.,Plumbing,toilet clogged,1009,the gym area,Medium,Open,Student,2025-08-31
7193,My study chair wobbles a lot and feels unsafe to sit on.,Furniture,chair broken,1011,Room E117,High,Open,Student,2024-07-18
7194,Connection near the room keeps buffering constantly.,Internet/WiFi,slow internet,1018,Room E124,Medium,In Progress,Staff,2026-01-05
7195,Almirah lock in my room is jammed and won't open.,Furniture,cupboard/door issue,1013,Room E116,Medium,Resolved,Student,2026-08-24
7196,I found ants all over the bathroom in my room.,Cleaning/Sanitation,pest issue,1020,Room B143,Low,Open,Student,2024-01-21
7197,Room temperature isn't dropping even with AC on full in Room E119.,HVAC/Fan,AC not cooling,1002,Room A121,Low,Escalated,Student,2025-06-26
7198,"Desk near the common room has a cracked surface, needs repair.",Furniture,bed/desk damaged,1012,Room D125,High,Resolved,Student,2024-11-26
7199,There's a constant leak from the wash basin tap in Room D120.,Plumbing,tap leaking,1007,Block D Floor 4 corridor,High,Open,Warden,2026-03-16
7200,"Wardrobe hinge is broken, door keeps falling off.",Furniture,cupboard/door issue,1013,Room D101,Medium,Open,Student,2024-12-15
7201,There's no power supply at all in Hostel 1 common washroom.,Electrical,no electricity,1005,the mess hall,High,Open,Student,2024-02-10
7202,"I can't charge my devices, the socket in Room B128 is dead.",Electrical,power outlet not working,1003,Room E109,Low,Resolved,Student,2025-12-17
7203,"My room fan is dead, no rotation even at full speed.",HVAC/Fan,fan not working,1001,Room C119,Low,Resolved,Faculty,2026-01-13
7204,Water supply has been cut off in my bathroom since morning.,Plumbing,no water supply,1008,Room E116,Low,In Progress,Student,2024-03-11
7205,"Washroom drain is blocked, water isn't going down.",Plumbing,toilet clogged,1009,the mess hall,Medium,In Progress,Staff,2026-04-06
7206,"Taps in Room E113 are completely dry, no water at all.",Plumbing,no water supply,1008,Room A122,High,In Progress,Student,2025-01-09
7207,"Washroom drain is blocked, water isn't going down.",Plumbing,toilet clogged,1009,Room C123,Medium,Resolved,Student,2025-08-06
7208,Entire room has no electricity since morning.,Electrical,no electricity,1005,Room D116,High,Escalated,Staff,2025-11-08
7209,My hallway fan is vibrating badly and making buzzing sounds.,HVAC/Fan,fan making noise,1000,Room E101,Low,Open,Staff,2024-12-18
7210,"My room lost electricity completely, need urgent fix.",Electrical,no electricity,1005,Room D113,High,In Progress,Student,2026-07-12
7211,The wardrobe fan has completely stopped working.,HVAC/Fan,fan not working,1001,Room C102,Medium,Open,Student,2024-07-27
7212,There's no water coming from the tap in Room C119.,Plumbing,no water supply,1008,Room C144,High,Resolved,Student,2024-12-30
7213,Air conditioner is running but blowing warm air.,HVAC/Fan,AC not cooling,1002,Room C110,Low,Resolved,Student,2024-01-07
7214,"Washroom drain is blocked, water isn't going down.",Plumbing,toilet clogged,1009,Room D107,Medium,Open,Student,2024-04-21
7215,I can see loose electrical wiring hanging near the switchboard.,Electrical,wiring exposed / hazard,1006,Room A104,High,Escalated,Visitor,2024-09-22
7216,"Wardrobe hinge is broken, door keeps falling off.",Furniture,cupboard/door issue,1013,Room C115,Medium,Open,Warden,2024-11-22
7217,Ceiling in my room looks like it's sagging slightly.,Structural,ceiling/wall damage,1014,Block A Floor 3 corridor,High,In Progress,Student,2026-02-07
7218,"I can't charge my devices, the socket in Room C133 is dead.",Electrical,power outlet not working,1003,Room B130,Low,Open,Warden,2024-02-11
7219,WiFi is too slow to even load a webpage in my room.,Internet/WiFi,slow internet,1018,Room A110,Medium,Open,Student,2025-04-18
7220,Electrical outlet near the common room has stopped working.,Electrical,power outlet not working,1003,Room C137,Medium,In Progress,Student,2025-09-17
7221,Mold is forming on the wall due to constant dampness in Room B109.,Structural,seepage/dampness,1016,Room D131,Medium,In Progress,Student,2025-05-17
7222,"Fan in Room A140 is really noisy, sounds like a rattling tin can.",HVAC/Fan,fan making noise,1000,Room C101,Low,Resolved,Warden,2025-01-18
7223,I can see loose electrical wiring hanging near the switchboard.,Electrical,wiring exposed / hazard,1006,the library reading room,Low,In Progress,Staff,2026-05-10
7224,I found ants all over the entrance in my room.,Cleaning/Sanitation,pest issue,1020,Room C141,Low,Resolved,Warden,2024-09-23
7225,Mold is forming on the wall due to constant dampness in Room B137.,Structural,seepage/dampness,1016,Room C120,High,In Progress,Student,2025-08-25
7226,"Wardrobe hinge is broken, door keeps falling off.",Furniture,cupboard/door issue,1013,Room B117,Medium,Resolved,Student,2024-01-11
7227,"The door lock in Room D134 is broken, doesn't latch properly.",Structural,door/window broken,1015,Room B108,Medium,In Progress,Faculty,2025-08-18
7228,Window glass in Room E121 is cracked.,Structural,door/window broken,1015,Block D Floor 4 corridor,High,Resolved,Student,2026-05-28
7229,The corner fan has completely stopped working.,HVAC/Fan,fan not working,1001,Room C114,Medium,In Progress,Student,2026-06-20
7230,Internet keeps disconnecting every few minutes in Room A105.,Internet/WiFi,wifi not working,1017,Room C121,Medium,In Progress,Student,2024-03-02
7231,My study chair wobbles a lot and feels unsafe to sit on.,Furniture,chair broken,1011,Room B116,High,Open,Student,2026-07-21
7232,The toilet in Room B141 is clogged and won't flush.,Plumbing,toilet clogged,1009,Room D114,Medium,Escalated,Warden,2024-08-19
7233,There's water seepage on the wall in Room E118.,Structural,seepage/dampness,1016,Room D120,High,Resolved,Student,2025-06-24
7234,The Room C128 hasn't been cleaned in over a week.,Cleaning/Sanitation,room not cleaned,1019,Room A140,Low,In Progress,Staff,2024-09-07
7235,There's constant loud noise coming from Block B Floor 4 corridor at night.,Noise/Nuisance,noise disturbance,1021,Room E123,Low,Resolved,Student,2024-01-16
7236,There's a constant leak from the wash basin tap in Room B105.,Plumbing,tap leaking,1007,Block D Floor 4 corridor,Low,Resolved,Student,2024-03-12
7237,Chair near the washbasin has a broken backrest.,Furniture,chair broken,1011,Room D141,Medium,In Progress,Student,2025-08-18
7238,Common washroom near the study table is really dirty.,Cleaning/Sanitation,room not cleaned,1019,Room C113,Low,In Progress,Student,2024-07-28
7239,Almirah lock in my room is jammed and won't open.,Furniture,cupboard/door issue,1013,the main lobby,Medium,In Progress,Visitor,2026-07-01
7240,There's water seepage on the wall in Room E122.,Structural,seepage/dampness,1016,the gym area,High,In Progress,Student,2024-01-15
7241,There's a crack forming on the ceiling in Room C107.,Structural,ceiling/wall damage,1014,Room A118,Low,In Progress,Warden,2024-08-19
7242,The Room B119 hasn't been cleaned in over a week.,Cleaning/Sanitation,room not cleaned,1019,Room D142,Low,In Progress,Student,2024-06-28
7243,Corridor near the bathroom is full of dust and garbage.,Cleaning/Sanitation,room not cleaned,1019,Block A Floor 2 corridor,Low,In Progress,Student,2026-08-26
7244,The power socket in Room D140 isn't working.,Electrical,power outlet not working,1003,Block B Floor 4 corridor,Medium,Resolved,Student,2024-01-13
7245,Power has been out in Room C127 for hours now.,Electrical,no electricity,1005,Room D137,Low,Escalated,Student,2026-05-14
7246,I found ants all over the wardrobe in my room.,Cleaning/Sanitation,pest issue,1020,Hostel 4 common washroom,Low,Resolved,Student,2025-09-11
7247,There's no power supply at all in Room A125.,Electrical,no electricity,1005,Room A105,High,In Progress,Student,2024-07-08
7248,Power point in the room sparked and now doesn't work.,Electrical,power outlet not working,1003,Room A110,Medium,Resolved,Student,2024-05-08
7249,Water keeps dripping from the room tap even when closed.,Plumbing,tap leaking,1007,Hostel 7 common washroom,Low,Open,Student,2026-02-27
7250,Construction noise near Room E143 is disturbing classes/sleep.,Noise/Nuisance,noise disturbance,1021,Room D134,Low,Open,Warden,2025-09-09
7251,Chair near the common room has a broken backrest.,Furniture,chair broken,1011,Room C101,Medium,Open,Warden,2024-02-05
7252,Fan in Room B111 doesn't turn on at all anymore.,HVAC/Fan,fan not working,1001,Room C141,Low,Open,Staff,2024-03-31
7253,Ceiling in my room looks like it's sagging slightly.,Structural,ceiling/wall damage,1014,Room E108,Medium,In Progress,Visitor,2024-05-20
7254,hallway fan sounds like a helicopter whenever it's on.,HVAC/Fan,fan making noise,1000,Room A117,Low,In Progress,Student,2024-04-27
7255,"Washroom drain is blocked, water isn't going down.",Plumbing,toilet clogged,1009,Room A144,Medium,In Progress,Student,2026-03-02
7256,"Washroom drain is blocked, water isn't going down.",Plumbing,toilet clogged,1009,Room D121,Medium,In Progress,Student,2024-02-11
7257,"Tube light in my room flickers constantly, very annoying.",Electrical,light flickering,1004,Room B135,Low,Open,Staff,2025-05-29
7258,"Room smells damp, there's visible moisture near the bed.",Structural,seepage/dampness,1016,Room D112,Low,In Progress,Warden,2026-06-23
7259,There's a constant leak from the wash basin tap in Room B138.,Plumbing,tap leaking,1007,Block B Floor 2 corridor,High,Open,Student,2026-07-14
7260,"There are exposed wires near the common room in Room C119, looks dangerous.",Electrical,wiring exposed / hazard,1006,Room D143,High,In Progress,Student,2024-05-11
7261,"Toilet flush isn't working properly in the library reading room, backing up.",Plumbing,toilet clogged,1009,Room C134,Medium,Escalated,Student,2024-08-14
7262,My study chair wobbles a lot and feels unsafe to sit on.,Furniture,chair broken,1011,Hostel 7 common washroom,High,In Progress,Student,2025-06-01
7263,Chair near the washbasin has a broken backrest.,Furniture,chair broken,1011,Room A123,High,Resolved,Student,2024-09-27
7264,The tap in Room E103 is leaking non-stop.,Plumbing,tap leaking,1007,Room E120,Medium,Resolved,Student,2025-04-19
7265,There's a constant leak from the wash basin tap in Block A Floor 1 corridor.,Plumbing,tap leaking,1007,Room D106,Low,Resolved,Student,2026-05-05
7266,No internet connectivity in my room since last night.,Internet/WiFi,wifi not working,1017,Room D133,Low,Resolved,Student,2024-05-27
7267,Connection near the window keeps buffering constantly.,Internet/WiFi,slow internet,1018,Block D Floor 3 corridor,Low,Resolved,Student,2026-05-15
7268,Internet keeps disconnecting every few minutes in Room C104.,Internet/WiFi,wifi not working,1017,Hostel 1 common washroom,Medium,Resolved,Student,2024-08-03
7269,Bed in Block B Floor 1 corridor is sagging badly in the middle.,Furniture,bed/desk damaged,1012,Room B121,High,Resolved,Student,2024-09-06
7270,"Lights in Room A103 are unstable, they blink randomly.",Electrical,light flickering,1004,Room C132,Low,Resolved,Student,2026-05-13
7271,There's a constant leak from the wash basin tap in Room C131.,Plumbing,tap leaking,1007,Room A111,Low,Resolved,Student,2024-11-20
7272,There's no water coming from the tap in Room D119.,Plumbing,no water supply,1008,Room E139,High,In Progress,Student,2024-11-02
7273,The toilet in Room B120 is clogged and won't flush.,Plumbing,toilet clogged,1009,Room C140,Medium,Open,Student,2025-12-11
7274,Main door hinge near the wardrobe is loose and squeaky.,Structural,door/window broken,1015,Room C107,Medium,In Progress,Warden,2024-02-15
7275,The Room E135 hasn't been cleaned in over a week.,Cleaning/Sanitation,room not cleaned,1019,Room C106,Low,Resolved,Student,2026-04-08
7276,Wall near the wall-mounted has a large crack spreading.,Structural,ceiling/wall damage,1014,Room D108,High,Resolved,Student,2024-08-27
7277,Mold is forming on the wall due to constant dampness in Room B106.,Structural,seepage/dampness,1016,Room C139,High,In Progress,Student,2025-02-20
7278,Ceiling in my room looks like it's sagging slightly.,Structural,ceiling/wall damage,1014,Room E107,High,Open,Student,2024-07-26
7279,I can see loose electrical wiring hanging near the switchboard.,Electrical,wiring exposed / hazard,1006,Room B114,Low,Open,Student,2025-08-11
7280,Ceiling in Room C141 is damp because of a leaking pipe above.,Plumbing,pipe leakage,1010,Room E128,Medium,Resolved,Student,2026-04-23
7281,"The chair in Room C144 is broken, one leg is cracked.",Furniture,chair broken,1011,Room C106,High,Open,Student,2025-03-03
7282,Bulb near the balcony is flickering and about to die.,Electrical,light flickering,1004,Room A126,High,Resolved,Student,2024-09-28
7283,Window glass in Room D138 is cracked.,Structural,door/window broken,1015,Hostel 4 common washroom,High,In Progress,Warden,2025-08-06
7284,Chair near the common room has a broken backrest.,Furniture,chair broken,1011,Block B Floor 1 corridor,Medium,Resolved,Student,2024-12-01
7285,The WiFi router near the common room seems to be down.,Internet/WiFi,wifi not working,1017,Room B143,Low,Resolved,Student,2025-10-02
7286,"Bathroom tap won't shut off properly, water is wasted.",Plumbing,tap leaking,1007,Room C136,High,Open,Student,2025-06-20
7287,I can see loose electrical wiring hanging near the switchboard.,Electrical,wiring exposed / hazard,1006,Room E111,High,In Progress,Student,2025-06-04
7288,Mosquito infestation is bad in Room B108 this week.,Cleaning/Sanitation,pest issue,1020,Hostel 7 common washroom,Low,Resolved,Student,2024-05-03
7289,"The switchboard in my room has sparking wires, feels unsafe.",Electrical,wiring exposed / hazard,1006,Room D102,Low,In Progress,Student,2025-03-14
7290,WiFi isn't working at all in Room C134.,Internet/WiFi,wifi not working,1017,Room A127,Medium,Open,Student,2024-03-22
7291,My study chair wobbles a lot and feels unsafe to sit on.,Furniture,chair broken,1011,Room C143,High,Resolved,Staff,2026-05-22
7292,No internet connectivity in my room since last night.,Internet/WiFi,wifi not working,1017,Room E116,Low,Open,Student,2026-03-01
7293,Bed in Block B Floor 4 corridor is sagging badly in the middle.,Furniture,bed/desk damaged,1012,Room A107,High,In Progress,Student,2024-12-06
7294,Internet speed in Room B131 is extremely slow.,Internet/WiFi,slow internet,1018,Room A101,Low,Resolved,Student,2025-11-04
7295,The WiFi router near the hallway seems to be down.,Internet/WiFi,wifi not working,1017,Block B Floor 2 corridor,Low,Open,Student,2024-06-17
7296,Neighbors near the switchboard play loud music till late night.,Noise/Nuisance,noise disturbance,1021,Room C105,Low,In Progress,Staff,2026-01-29
7297,My study chair wobbles a lot and feels unsafe to sit on.,Furniture,chair broken,1011,Room D117,High,Open,Warden,2025-10-02
7298,"Taps in Room E111 are completely dry, no water at all.",Plumbing,no water supply,1008,Room B135,High,In Progress,Student,2025-10-20
7299,Trash hasn't been collected from Hostel 1 common washroom for days.,Cleaning/Sanitation,room not cleaned,1019,Block C Floor 3 corridor,Low,In Progress,Student,2025-08-13
7300,The Room E139 hasn't been cleaned in over a week.,Cleaning/Sanitation,room not cleaned,1019,Block B Floor 2 corridor,Low,In Progress,Student,2024-01-22
7301,Air conditioner is running but blowing warm air.,HVAC/Fan,AC not cooling,1002,Room B102,Low,Resolved,Student,2024-11-02
7302,The corner fan has completely stopped working.,HVAC/Fan,fan not working,1001,Room D123,Medium,In Progress,Warden,2026-05-06
7303,Water supply has been cut off in my bathroom since morning.,Plumbing,no water supply,1008,Room B129,High,Open,Student,2025-01-16
7304,The Hostel 2 common washroom hasn't been cleaned in over a week.,Cleaning/Sanitation,room not cleaned,1019,Room A141,Low,Escalated,Student,2026-02-14
7305,There's a crack forming on the ceiling in Room E121.,Structural,ceiling/wall damage,1014,Room A118,Low,Open,Student,2025-09-21
7306,Connection near the bed keeps buffering constantly.,Internet/WiFi,slow internet,1018,Room B119,Low,Open,Student,2026-07-17
7307,Mosquito infestation is bad in Room C127 this week.,Cleaning/Sanitation,pest issue,1020,Room B110,Low,In Progress,Student,2025-07-29
7308,Internet speed in Room A118 is extremely slow.,Internet/WiFi,slow internet,1018,Room E135,Medium,Open,Student,2025-10-14
7309,There's water seepage on the wall in Room E105.,Structural,seepage/dampness,1016,Room B116,High,Resolved,Visitor,2026-03-03
7310,"There are cockroaches in Room B140, needs pest control.",Cleaning/Sanitation,pest issue,1020,Block A Floor 1 corridor,High,Resolved,Warden,2024-05-22
7311,There's water seepage on the wall in Room A116.,Structural,seepage/dampness,1016,Room A126,Medium,Open,Staff,2024-12-20
7312,The bed frame in Room B109 is creaking and unstable.,Furniture,bed/desk damaged,1012,Room B117,Medium,Open,Student,2025-02-24
7313,"Wardrobe hinge is broken, door keeps falling off.",Furniture,cupboard/door issue,1013,Room D113,Medium,Escalated,Student,2026-04-28
7314,Common washroom near the ceiling is really dirty.,Cleaning/Sanitation,room not cleaned,1019,Hostel 5 common washroom,Low,Resolved,Student,2024-10-21
7315,Room temperature isn't dropping even with AC on full in Room C126.,HVAC/Fan,AC not cooling,1002,Room A112,Low,Resolved,Warden,2025-02-26
7316,Internet keeps disconnecting every few minutes in Room C103.,Internet/WiFi,wifi not working,1017,Room A139,High,Open,Student,2024-02-16
7317,Study table in my room has a broken drawer.,Furniture,bed/desk damaged,1012,Room E109,Low,Open,Staff,2024-11-26
7318,Wall near the common room has a large crack spreading.,Structural,ceiling/wall damage,1014,Room D108,High,In Progress,Faculty,2025-09-19
7319,Can someone check the entrance fan? It's humming every time it spins.,HVAC/Fan,fan making noise,1000,Room D139,Low,Open,Student,2025-01-02
7320,Window glass in Room C135 is cracked.,Structural,door/window broken,1015,Hostel 1 common washroom,High,In Progress,Staff,2026-05-28
7321,Air conditioner is running but blowing warm air.,HVAC/Fan,AC not cooling,1002,Room E110,Low,In Progress,Student,2025-03-25
7322,Entire room has no electricity since morning.,Electrical,no electricity,1005,Block D Floor 1 corridor,High,In Progress,Student,2025-11-07
7323,The AC in Room D124 isn't cooling the room at all.,HVAC/Fan,AC not cooling,1002,Room E105,Low,Resolved,Staff,2024-08-23
7324,Ceiling in my room looks like it's sagging slightly.,Structural,ceiling/wall damage,1014,Room C108,High,Open,Student,2025-11-22
7325,My study chair wobbles a lot and feels unsafe to sit on.,Furniture,chair broken,1011,Room D130,High,Resolved,Student,2026-03-23
7326,Can someone check the study table fan? It's grinding every time it spins.,HVAC/Fan,fan making noise,1000,Room A103,Low,Resolved,Student,2024-08-11
7327,Corridor near the kitchen area is full of dust and garbage.,Cleaning/Sanitation,room not cleaned,1019,Room A127,Low,Resolved,Faculty,2026-06-22
7328,"The door lock in Room B123 is broken, doesn't latch properly.",Structural,door/window broken,1015,Room B118,Medium,Resolved,Student,2024-01-22
7329,None of the plug points in my room are giving electricity.,Electrical,power outlet not working,1003,Room C130,Low,In Progress,Staff,2025-02-13
7330,"My room fan is dead, no rotation even at full speed.",HVAC/Fan,fan not working,1001,Room E133,Medium,In Progress,Student,2024-03-13
7331,"The wall-mounted AC seems to be broken, no cold air coming out.",HVAC/Fan,AC not cooling,1002,Room E133,Medium,Resolved,Student,2026-07-29
7332,Room temperature isn't dropping even with AC on full in Room A135.,HVAC/Fan,AC not cooling,1002,Room E141,Low,Resolved,Student,2026-07-01
7333,"There are exposed wires near the main door in Room C122, looks dangerous.",Electrical,wiring exposed / hazard,1006,Room A106,High,Resolved,Student,2026-08-25
7334,"The switchboard in my room has sparking wires, feels unsafe.",Electrical,wiring exposed / hazard,1006,Room C136,High,Open,Student,2025-12-24
7335,Ceiling in my room looks like it's sagging slightly.,Structural,ceiling/wall damage,1014,Room A112,Medium,Resolved,Student,2025-11-15
7336,WiFi isn't working at all in Room D120.,Internet/WiFi,wifi not working,1017,Room E119,Medium,Open,Student,2024-01-20
7337,Paint is peeling off the ceiling due to dampness in Room E144.,Structural,ceiling/wall damage,1014,Block C Floor 2 corridor,Low,Escalated,Faculty,2024-04-01
7338,My study table fan is vibrating badly and making grinding sounds.,HVAC/Fan,fan making noise,1000,Room D112,High,Open,Student,2024-12-15
7339,"The chair in Room C118 is broken, one leg is cracked.",Furniture,chair broken,1011,Room D140,High,Open,Faculty,2025-02-20
7340,Neighbors near the bed play loud music till late night.,Noise/Nuisance,noise disturbance,1021,Room D116,Low,In Progress,Student,2024-08-09
7341,"The door lock in Room C108 is broken, doesn't latch properly.",Structural,door/window broken,1015,Room E106,Medium,Resolved,Student,2026-03-08
7342,"There are exposed wires near the corner in Room B131, looks dangerous.",Electrical,wiring exposed / hazard,1006,Room C142,Medium,Open,Staff,2025-10-19
7343,The hallway fan has completely stopped working.,HVAC/Fan,fan not working,1001,Block C Floor 4 corridor,Medium,Open,Faculty,2026-03-18
7344,My study chair wobbles a lot and feels unsafe to sit on.,Furniture,chair broken,1011,Room D113,High,In Progress,Student,2025-02-05
7345,"Washroom drain is blocked, water isn't going down.",Plumbing,toilet clogged,1009,Room C131,Medium,Open,Staff,2025-11-08
7346,Almirah lock in my room is jammed and won't open.,Furniture,cupboard/door issue,1013,Room C115,Medium,In Progress,Student,2024-12-18
7347,None of the plug points in my room are giving electricity.,Electrical,power outlet not working,1003,Room B140,Low,Resolved,Student,2026-08-24
7348,"Washroom drain is blocked, water isn't going down.",Plumbing,toilet clogged,1009,Room C112,Medium,Resolved,Student,2024-07-10
7349,There's constant loud noise coming from Room A106 at night.,Noise/Nuisance,noise disturbance,1021,Room E140,Low,Open,Student,2024-11-24
7350,Ceiling in Room A116 is damp because of a leaking pipe above.,Plumbing,pipe leakage,1010,Room B118,High,Open,Student,2024-11-24
7351,The Room C111 hasn't been cleaned in over a week.,Cleaning/Sanitation,room not cleaned,1019,Room A107,Low,Open,Faculty,2025-02-07
7352,Construction noise near Room C105 is disturbing classes/sleep.,Noise/Nuisance,noise disturbance,1021,Room A117,Low,In Progress,Student,2026-05-05
7353,Corridor near the switchboard is full of dust and garbage.,Cleaning/Sanitation,room not cleaned,1019,Room C115,Low,In Progress,Student,2026-04-23
7354,Ceiling in Room D107 is damp because of a leaking pipe above.,Plumbing,pipe leakage,1010,Room A121,Medium,Open,Student,2026-01-26
7355,Common washroom near the ceiling is really dirty.,Cleaning/Sanitation,room not cleaned,1019,Room C107,Low,In Progress,Student,2024-07-26
7356,Mosquito infestation is bad in Room A131 this week.,Cleaning/Sanitation,pest issue,1020,Room A115,Low,Resolved,Staff,2024-07-10
7357,"Room smells damp, there's visible moisture near the room.",Structural,seepage/dampness,1016,Room A107,Low,In Progress,Student,2026-01-05
